BUDGET,POPULARITY,REVENUE,VOTE_AVERAGE,VOTE_COUNT,release_year,release_month
78000000,41.945,248384621,6.4,2149,2013,9
350000,40.134,29400000,7.3,2267,1981,10
11000000,31.826,593683,6.1,882,2015,1
6500000,42.187,257047661,5.7,4412,2014,2
125000000,36.818,334615000,7.1,7747,2011,11
200000000,43.915,743559607,7.0,7795,2013,6
15000000,27.808,356296601,8.0,8487,1999,9
10000000,28.621,79336821,7.1,4341,2018,7
145000000,37.601,306941670,7.3,4745,2012,11
40000000,32.674,53847136,6.8,1619,2019,2
10000000,46.128,91354215,7.3,2430,2007,4
27000000,24.876,27200316,7.3,1733,1998,2
5000000,33.223,85720385,7.2,4269,2002,10
175000000,39.621,497409852,7.1,7046,2004,3
8000000,50.316,214179088,8.5,19691,1994,10
28000000,35.565,504050219,7.6,8302,1992,11
15000000,40.915,92108518,7.1,2555,1998,7
2000000,43.202,14674076,6.5,4384,2014,7
13000000,30.308,20560255,5.8,851,1991,8
110000000,32.961,337580051,6.1,4771,2014,5
5000000,29.096,21200000,6.0,582,1983,10
44000000,30.449,155160045,7.0,4135,2016,10
16000000,30.446,73983359,7.3,738,2016,3
160000000,50.301,433677183,6.3,4953,2016,5
30000000,30.347,10023153,6.1,487,2018,8
10000000,31.779,102952888,6.2,2499,2017,10
7000000,42.326,40343446,8.0,3351,2017,12
5000000,36.067,40100000,6.6,2053,2014,8
54000000,31.448,320689294,5.8,2264,1996,11
40000000,35.763,125729635,5.8,2344,2016,8
100000000,34.695,125641396,7.1,1247,2019,6
20000000,36.133,33692510,8.5,633,2019,8
50000000,36.449,69411370,7.2,2147,2016,1
140000000,34.277,370569774,6.9,15623,2011,7
1000000,37.986,66265218,7.6,2432,2018,8
30000000,32.826,21360215,6.6,999,2019,6
25000000,41.609,377350553,7.7,7187,1991,11
35000000,37.517,81967450,5.8,2137,2015,8
103000000,33.014,500188435,6.4,2373,2014,3
15000000,40.454,98267558,7.4,4885,1987,12
145000000,44.307,694713380,7.0,7227,2011,7
20000000,34.541,136150434,6.0,1934,2010,10
1500000,31.048,2000000,7.0,132,2016,10
225000000,39.979,668045518,6.5,11415,2013,12
12000000,36.788,71923560,8.1,7709,1968,9
40000000,37.686,130290885,5.0,1703,2007,12
12000000,34.951,91244913,6.6,906,2018,3
19000000,37.481,140705322,5.7,5317,2016,11
35000000,42.969,411348924,7.2,5045,1989,6
165000000,32.269,310634054,6.7,4110,2004,10
175000000,28.318,148675066,6.5,4191,2017,10
68000000,25.153,75700000,5.5,1187,2003,3
11000000,30.025,34872033,5.3,768,1991,5
90000000,38.734,484635760,6.6,4679,2011,3
70000000,36.438,182379278,6.6,1613,2016,9
69000000,33.743,151572634,6.5,4358,2018,2
6000000,41.416,57615777,7.0,2123,2019,8
144000000,31.433,229147509,5.4,4632,2016,7
120000000,27.928,609016565,7.4,10251,2012,11
660000,31.949,16000000,5.8,323,1978,3
90000000,37.298,524028679,7.2,10754,2009,12
32000000,29.395,89083229,6.3,2359,2005,2
150000000,36.796,599045960,7.5,7462,2006,11
1488423,39.187,184925486,7.1,5318,1937,12
95000000,40.86,114178613,5.4,1868,2014,12
145000000,40.833,746921274,6.5,4275,2012,6
38000000,43.286,109906372,5.9,4453,2016,1
140000000,33.377,431971116,5.9,2345,2002,11
130000000,32.977,847423452,7.4,13176,2013,11
18000000,27.866,20497844,5.5,3369,2017,4
92000000,34.501,172989651,7.3,3745,2001,12
